src;dst
Bu gün məktəbə gedirəm.;Ben bugün okula gidiyorum.
adam;adam
adamla;adamla
affedersin;affedersin
axşamkı;akşamki
axşamlar;akşamlar
amma;ama
ankara'dayken;ankara'dayken
aydın;anlaşılan
artıq;artık
əsla;asla
əslində;aslında
açıqca;açıkça
ağlayan;ağlayan
ağlayanlara;ağlayanlara
balıq;balık
balığı;balığı
mənə;bana
banka;bankaya
bara;bara
bəzən;bazen
qışqıran;bağıran
mən;ben
məndən;benden
məni;beni
mənim;benim
mənimlə;benimle
belə;bile
bilirəm;biliyorum
bilmirəm;bilmiyorum
mindikləri;bininci
bir;bir
pivə;bira
pivəni;birayı
bitirincə;bitirince
biz;biz
bizə;bize
bizim;bizim
bizimki;bizimki
bizimlə;bizimle
bu;bu
bu gün;bugün
bugünkü;bugünkü
bunlar;bunlar
bunu;bunu
buradan;buradan
bütün;bütün
böyük;büyük
da;da
daha;daha
də;de
diləmək;dilemek
diləyincə;dileyince
doxsan;doksan
doqquz;dokuz
pomidor;domates
pomidoru;domatesi
doğulduğu;doğduğu
doğulduğum;doğduğum
doğulduğunda;doğduğunda
doğru;doğru
duo;duo
dünən;dün
təşkil etdiyi;düzenlediği
tənzim etdiyim;düzenlediğim
təşkil etdiyimiz;düzenlediğimiz
edən;eden
edənlər;edenler
ederim;ederim
edincə;edince
çörək;ekmek
çörəyi;ekmeği
əlli;elli
alma;elma
almanı;elmayı
ən;en
kişi;erkek
kişilər;erkekler
köhnə;eski
köhnədən;eskiden
olmaq;et
əti;eti
təsir edən;etkileyen
etdiyim;ettiğim
etdiyini;ettiğini
bəli;evet
əgər;eğer
fərq;fark
qəzet;gazete
qəzeti;gazeteyi
gecə;gece
gecələr;geceler
gəlincə;gelince
ümumiyyətlə;genelde
tez-tez;genellikle
gənc;genç
gənckən;gençken
baş verdikdə;gerçekleşince
həqiqətən;gerçekten
geç;geç
gidelim;gidelim
getdiyimdə;gittiğimde
getdiyində;gittiğinde
geyər;giyer
geyərəm;giyerim
geyər;giyeriz
geyərlər;giyerler
geyərsən;giyersin
geyər;giyersiniz
boz;gri
göndərdiyimiz;gönderdiğimiz
göndərdiyin;gönderdiğin
görüşərik;görüşürüz
güle güle;güle güle
günaydın;günaydın
cənuba;güneye
gözəl;güzel
hələ;hala
hansı;hangi
hansı;hangisi
xaric;hariç
havalimanından;havalimanından
heyvanat;hayvanat
xeyr;hayır
həm;hem
hələ;henüz
həmişə;hep
hər;her
hər hansı;herhangi
heç;hiç
xoş gəldin;hoş geldin
xoş gəlmisiniz;hoş geldiniz
xoşca qal;hoşça kal
xoşca qalın;hoşça kalın
sürətlicə;hızlıca
iki;iki
ikinci;ikinci
ikisi;ikisi
ikisini;ikisini
ilə;ile
ingilizce;ingilizce
yaxşı;iyi
yaxşı ki;iyi ki
yaxşıyam;iyiyim
daxili;iç
içək;içelim
içər;içer
içirəm;içerim
içeriz;içeriz
içersin;içersin
içersiniz;içersiniz
üçün;için
işsizken;işsizken
qəbul;kabul
qədər;kadar
qadın;kadın
k ahve;kahve
qəhvəni;kahveyi
qala;kala
qərar;karar
itirdiyi;kaybettiği
itirdiyim;kaybettiğim
itirdiyini;kaybettiğini
neçədə;kaçta
dəfə;kere
qətiliklə;kesinlikle
kəsdiyim;kestiğim
dəfə;kez
kaş ki;keşke
ki;ki
kimin;kimin
kiraladığımda;kiraladığımda
kiraladığımız;kiraladığımız
kiraladığınız;kiraladığınız
kitabı;kitabı
kitab;kitap
asan;kolay
danışaq;konuşalım
kiçik;küçük
qız;kız
limon;limon
limonu;limonu
lütfən;lütfen
makaron;makarna
makaronu;makarnayı
riyaziyyat;matematik
memnun oldum;memnun oldum
menyunu;menüyü
merhaba;merhaba
meyvə;meyve
meyvəni;meyveyi
mi;mi
milyon;milyon
misin;misin
bilərsinizmi;misiniz
bilərikmi;miyiz
bənövşəyi;mor
mu;mu
musun;musun
bilirsinizmi;musunuz
bilirəmmi;muyum
bilirikmi;muyuz
mü;mü
müdir;müdür
müsün;müsün
görürsünüz;müsünüz
müyüm;müyüm
mı;mı
mısın;mısın
qorxmursunuz;mısınız
nadir hallarda;nadiren
necə;nasıl
nasılsın;nasılsın
necəsiniz;nasılsınız
nə;ne
səbəb;neden
az qala;neredeyse
hara;nereye
o;o
ofisə;ofise
oxu;oku
oxuyur;okur
oxuyarlar;okurlar
okursun;okursun
oxuyursunuz;okursunuz
oxuyuram;okurum
oxuyuruq;okuruz
ol;ol
olduqca;oldukça
olduğumu;olduğumu
olduğumuzu;olduğumuzu
olduğunu;olduğunu
olmaq;olmak
on;on
ona;ona
ondan;ondan
onlar;onlar
onlara;onlara
onların;onların
onu;onu
onun;onun
onunla;onunla
oraya;oraya
otuz;otuz
parka;parka
tort;pasta
tortu;pastayı
çəhrayı;pembe
pendir;peynir
pendiri;peyniri
portağal;portakal
portağalı;portakalı
baxmayaraq;rağmen
rəngarəng;rengarenk
rica;rica
yalnız;sadece
sənə;sana
buterbrod;sandviç
sandığımdan;sandığımdan
sandığımızdan;sandığımızdan
sanki;sanki
sanaram;sanırım
səkkiz;sekiz
səksən;seksen
salam;selam
sən;sen
səndən;senden
səni;seni
sənin;senin
səninlə;seninle
sevdiklərimə;sevdiklerime
sevdiğim;sevdiğim
sevindiyim;sevindiğim
siz;siz
sizə;size
sizi;sizi
sizin;sizin
sonunda;sonunda
soyuq;soğuk
su;su
sultan ahmet;sultan ahmet
suyu;suyu
süd;süt
südü;sütü
isti;sıcak
tez-tez;sık sık
əsnasında;sırasında
tam olaraq;tam olarak
tamam;tamam
tamamilə;tamamen
dənə;tane
toyuq;tavuk
toyuğu;tavuğu
təbrik;tebrik
təkrar;tekrar
üstünlük;tercih
təşəkkür;teşekkür
təşəkkürlər;teşekkürler
narıncı;turuncu
duz;tuz
duzu;tuzu
türkçe;türkçe
çatdığımda;ulaştığımda
çatdığında;ulaştığında
vardı;vardı
və;ve
verincə;verince
və ya;veya
ya;ya
yaxında;yakında
edək;yapalım
etmədiyini;yapmadığını
sabah;yarın
yazan;yazan
yazılan;yazılan
yağ;yağ
yağdığı;yağdığı
yağdığında;yağdığında
yağmır;yağmıyor
yağı;yağı
yaşlı;yaşlı
ye;ye
yeddi;yedi
yeməyi;yemeği
iştirak;yer
yerim;yerim
yeyərik;yeriz
yerlər;yerler
yeyərsən;yersin
yeyəcəksiniz;yersiniz
kafi;yeterli
yetmiş;yetmiş
yenə;yine
iyirmi;yirmi
yeyək;yiyelim
yoxsa;yoksa
qatığı;yoğurdu
yumurta;yumurta
yumurtanı;yumurtayı
yunanistan'dayken;yunanistan'dayken
üz;yüz
çətin;zor
çay;çay
çayı;çayı
çevirən;çeviren
çevrilən;çevrilen
dörddəbir;çeyrek
çiyələk;çilek
çiyələyi;çileği
uşaq;çocuk
uşaqkən;çocukken
çox;çok
şorba;çorba
şorbanı;çorbayı
əksəriyyətlə;çoğunlukla
çünki;çünkü
əvvəl;önce
öpən;öpen
üzr;özür
müəllimlə;öğretmenle
üç;üç
üçteki;üçteki
şanslar;şanslar
şərabı;şarabı
şərab;şarap
şəkər;şeker
şəkəri;şekeri
indi;şimdi
bu;şu
şubat'taki;şubattaki
bunlar;şunlar
şuraya;şuraya
